code,subject,class_level,parent_code,kind,name_en,name_hi,sort_order,default_learn_minutes,neet_relevant
PHY.11.GRAV.KEPLER,physics,11,PHY.11.GRAV,topic,Kepler's laws of planetary motion,,3,45,true
PHY.11.GRAV.POTEN,physics,11,PHY.11.GRAV,topic,Gravitational potential energy and gravitational potential,,4,45,true
PHY.11.GRAV.SATELL,physics,11,PHY.11.GRAV,topic,"Escape velocity, satellite motion: orbital velocity, time period and energy",,5,45,true
PHY.11.ELAST,physics,11,PHY.U07,chapter,Mechanical Properties of Solids,ठोसों के यांत्रिक गुण,1,90,true
PHY.11.ELAST.STRESS,physics,11,PHY.11.ELAST,topic,"Elastic behaviour, stress-strain relationship and Hooke's law",,1,45,true
PHY.11.ELAST.MODULI,physics,11,PHY.11.ELAST,topic,"Young's modulus, bulk modulus and modulus of rigidity",,2,45,true
PHY.11.FLUID,physics,11,PHY.U07,chapter,Mechanical Properties of Fluids,तरलों के यांत्रिकी गुण,2,225,true
PHY.11.FLUID.PRESS,physics,11,PHY.11.FLUID,topic,"Pressure due to a fluid column, Pascal's law and the effect of gravity",,1,45,true
PHY.11.FLUID.VISC,physics,11,PHY.11.FLUID,topic,"Viscosity, Stokes' law and terminal velocity",,2,45,true
PHY.11.FLUID.FLOW,physics,11,PHY.11.FLUID,topic,"Streamline and turbulent flow, critical velocity and Bernoulli's principle",,3,45,true
PHY.11.FLUID.SURF,physics,11,PHY.11.FLUID,topic,"Surface energy, surface tension, angle of contact and excess pressure",,4,45,true
PHY.11.FLUID.CAPILL,physics,11,PHY.11.FLUID,topic,"Drops, bubbles and capillary rise",,5,45,true
PHY.11.THERMP,physics,11,PHY.U07,chapter,Thermal Properties of Matter,द्रव्य के तापीय गुण,3,180,true
PHY.11.THERMP.TEMP,physics,11,PHY.11.THERMP,topic,"Heat, temperature and thermal expansion",,1,45,true
PHY.11.THERMP.CALOR,physics,11,PHY.11.THERMP,topic,Specific heat capacity and calorimetry,,2,45,true
PHY.11.THERMP.STATE,physics,11,PHY.11.THERMP,topic,Change of state and latent heat,,3,45,true
PHY.11.THERMP.TRANSFER,physics,11,PHY.11.THERMP,topic,"Heat transfer: conduction, convection and radiation",,4,45,true
PHY.11.THERMO,physics,11,PHY.U08,chapter,Thermodynamics,ऊष्मागतिकी,1,180,true
PHY.11.THERMO.ZEROTH,physics,11,PHY.11.THERMO,topic,"Thermal equilibrium, zeroth law and the concept of temperature",,1,45,true
PHY.11.THERMO.FIRST,physics,11,PHY.11.THERMO,topic,"Heat, work, internal energy and the first law of thermodynamics",,2,45,true
PHY.11.THERMO.PROCESS,physics,11,PHY.11.THERMO,topic,Isothermal and adiabatic processes,,3,45,true
PHY.11.THERMO.SECOND,physics,11,PHY.11.THERMO,topic,"Second law of thermodynamics, reversible and irreversible processes",,4,45,true
PHY.11.KTG,physics,11,PHY.U09,chapter,Kinetic Theory,अणुगति सिद्धांत,1,225,true
PHY.11.KTG.EQSTATE,physics,11,PHY.11.KTG,topic,Equation of state of a perfect gas and work done in compressing a gas,,1,45,true
PHY.11.KTG.ASSUMP,physics,11,PHY.11.KTG,topic,Assumptions of kinetic theory and the concept of pressure,,2,45,true
PHY.11.KTG.RMS,physics,11,PHY.11.KTG,topic,Kinetic interpretation of temperature and RMS speed,,3,45,true
PHY.11.KTG.EQUIPART,physics,11,PHY.11.KTG,topic,"Degrees of freedom, equipartition of energy and specific heat capacities",,4,45,true
PHY.11.KTG.MFP,physics,11,PHY.11.KTG,topic,Mean free path and Avogadro's number,,5,45,true
PHY.11.OSC,physics,11,PHY.U10,chapter,Oscillations,दोलन,1,225,true
PHY.11.OSC.PERIODIC,physics,11,PHY.11.OSC,topic,"Periodic motion: time period, frequency, displacement and periodic functions",,1,45,true
PHY.11.OSC.SHM,physics,11,PHY.11.OSC,topic,"Simple harmonic motion, its equation and phase",,2,45,true
PHY.11.OSC.SPRING,physics,11,PHY.11.OSC,topic,Oscillations of a spring: restoring force and force constant,,3,45,true
PHY.11.OSC.ENERGY,physics,11,PHY.11.OSC,topic,Kinetic and potential energy in SHM,,4,45,true
PHY.11.OSC.PENDULUM,physics,11,PHY.11.OSC,topic,Simple pendulum and the derivation of its time period,,5,45,true
PHY.11.WAVES,physics,11,PHY.U10,chapter,Waves,तरंगें,2,225,true
PHY.11.WAVES.TYPES,physics,11,PHY.11.WAVES,topic,"Wave motion: longitudinal and transverse waves, speed of a travelling wave",,1,45,true
PHY.11.WAVES.PROGRESS,physics,11,PHY.11.WAVES,topic,Displacement relation for a progressive wave,,2,45,true
PHY.11.WAVES.SUPERPOS,physics,11,PHY.11.WAVES,topic,Principle of superposition and reflection of waves,,3,45,true
PHY.11.WAVES.STANDING,physics,11,PHY.11.WAVES,topic,"Standing waves in strings and organ pipes, fundamental mode and harmonics",,4,45,true
PHY.11.WAVES.BEATS,physics,11,PHY.11.WAVES,topic,Beats,,5,45,true
PHY.12.ECF,physics,12,PHY.U11,chapter,Electric Charges and Fields,वैद्युत आवेश तथा क्षेत्र,1,225,true
PHY.12.ECF.CHARGE,physics,12,PHY.12.ECF,topic,"Electric charge, its conservation and Coulomb's law",,1,45,true
PHY.12.ECF.SUPERPOS,physics,12,PHY.12.ECF,topic,Superposition principle and continuous charge distributions,,2,45,true
PHY.12.ECF.FIELD,physics,12,PHY.12.ECF,topic,Electric field due to a point charge and electric field lines,,3,45,true
PHY.12.ECF.DIPOLE,physics,12,PHY.12.ECF,topic,"Electric dipole, its field and torque in a uniform field",,4,45,true
PHY.12.ECF.GAUSS,physics,12,PHY.12.ECF,topic,"Electric flux, Gauss's law and its applications",,5,45,true
PHY.12.EPC,physics,12,PHY.U11,chapter,Electrostatic Potential and Capacitance,स्थिरवैद्युत विभव तथा धारिता,2,270,true
PHY.12.EPC.POTENTIAL,physics,12,PHY.12.EPC,topic,"Electric potential of a point charge, a dipole and a system of charges",,1,45,true
PHY.12.EPC.EQUIPOT,physics,12,PHY.12.EPC,topic,Potential difference and equipotential surfaces,,2,45,true
PHY.12.EPC.PE,physics,12,PHY.12.EPC,topic,Electrostatic potential energy of two charges and of a dipole,,3,45,true
PHY.12.EPC.CONDUCT,physics,12,PHY.12.EPC,topic,"Conductors, insulators, dielectrics and electric polarisation",,4,45,true
PHY.12.EPC.CAPAC,physics,12,PHY.12.EPC,topic,Capacitors and the parallel plate capacitor with and without dielectric,,5,45,true
PHY.12.EPC.COMBINE,physics,12,PHY.12.EPC,topic,Combination of capacitors and energy stored in a capacitor,,6,45,true
PHY.12.CURR,physics,12,PHY.U12,chapter,Current Electricity,विद्युत धारा,1,315,true
PHY.12.CURR.DRIFT,physics,12,PHY.12.CURR,topic,"Electric current, drift velocity and mobility",,1,45,true
PHY.12.CURR.OHM,physics,12,PHY.12.CURR,topic,"Ohm's law, resistance and V-I characteristics of ohmic and non-ohmic conductors",,2,45,true
PHY.12.CURR.RESIST,physics,12,PHY.12.CURR,topic,"Resistivity, conductivity and temperature dependence of resistance",,3,45,true
PHY.12.CURR.POWER,physics,12,PHY.12.CURR,topic,Electrical energy and power,,4,45,true
PHY.12.CURR.COMBINE,physics,12,PHY.12.CURR,topic,Series and parallel combinations of resistors,,5,45,true
PHY.12.CURR.CELLS,physics,12,PHY.12.CURR,topic,"EMF, internal resistance and combinations of cells",,6,45,true
PHY.12.CURR.KIRCH,physics,12,PHY.12.CURR,topic,"Kirchhoff's laws, Wheatstone bridge and metre bridge",,7,45,true
PHY.12.MCM,physics,12,PHY.U13,chapter,Moving Charges and Magnetism,गतिमान आवेश और चुंबकत्व,1,270,true
PHY.12.MCM.BIOT,physics,12,PHY.12.MCM,topic,Biot-Savart law and the current-carrying circular loop,,1,45,true
PHY.12.MCM.AMPERE,physics,12,PHY.12.MCM,topic,Ampere's law: infinitely long straight wire and solenoid,,2,45,true
PHY.12.MCM.LORENTZ,physics,12,PHY.12.MCM,topic,Force on a moving charge in uniform magnetic and electric fields,,3,45,true
PHY.12.MCM.CONDFORCE,physics,12,PHY.12.MCM,topic,Force on a current-carrying conductor and between parallel currents,,4,45,true
PHY.12.MCM.LOOP,physics,12,PHY.12.MCM,topic,Torque on a current loop and the loop as a magnetic dipole,,5,45,true
PHY.12.MCM.GALVAN,physics,12,PHY.12.MCM,topic,"Moving coil galvanometer, its sensitivity, ammeter and voltmeter",,6,45,true
PHY.12.MAGM,physics,12,PHY.U13,chapter,Magnetism and Matter,चुंबकत्व एवं द्रव्य,2,135,true
PHY.12.MAGM.BARMAG,physics,12,PHY.12.MAGM,topic,"Bar magnet as an equivalent solenoid, field lines and dipole field",,1,45,true
PHY.12.MAGM.TORQUE,physics,12,PHY.12.MAGM,topic,Torque on a magnetic dipole in a uniform magnetic field,,2,45,true
PHY.12.MAGM.MATERIALS,physics,12,PHY.12.MAGM,topic,"Para-, dia- and ferromagnetic substances and the effect of temperature",,3,45,true
PHY.12.EMI,physics,12,PHY.U14,chapter,Electromagnetic Induction,वैद्युतचुंबकीय प्रेरण,1,135,true
PHY.12.EMI.FARADAY,physics,12,PHY.12.EMI,topic,"Faraday's law, induced emf and current",,1,45,true
PHY.12.EMI.LENZ,physics,12,PHY.12.EMI,topic,Lenz's law and eddy currents,,2,45,true
PHY.12.EMI.INDUCT,physics,12,PHY.12.EMI,topic,Self and mutual inductance,,3,45,true
PHY.12.AC,physics,12,PHY.U14,chapter,Alternating Current,प्रत्यावर्ती धारा,2,180,true
PHY.12.AC.RMS,physics,12,PHY.12.AC,topic,Alternating current and voltage: peak and RMS values,,1,45,true
PHY.12.AC.LCR,physics,12,PHY.12.AC,topic,"Reactance, impedance, LCR series circuit and resonance",,2,45,true
PHY.12.AC.POWER,physics,12,PHY.12.AC,topic,Power in AC circuits and wattless current,,3,45,true
PHY.12.AC.DEVICES,physics,12,PHY.12.AC,topic,AC generator and transformer,,4,45,true
PHY.12.EMW,physics,12,PHY.U15,chapter,Electromagnetic Waves,वैद्युतचुंबकीय तरंगें,1,135,true
PHY.12.EMW.DISPCURR,physics,12,PHY.12.EMW,topic,Displacement current,,1,45,true
PHY.12.EMW.NATURE,physics,12,PHY.12.EMW,topic,"Electromagnetic waves, their characteristics and transverse nature",,2,45,true
PHY.12.EMW.SPECTRUM,physics,12,PHY.12.EMW,topic,Electromagnetic spectrum and applications of electromagnetic waves,,3,45,true
PHY.12.RAYOPT,physics,12,PHY.U16,chapter,Ray Optics and Optical Instruments,किरण प्रकाशिकी एवं प्रकाशिक यंत्र,1,315,true
PHY.12.RAYOPT.MIRROR,physics,12,PHY.12.RAYOPT,topic,"Reflection of light, spherical mirrors and the mirror formula",,1,45,true
PHY.12.RAYOPT.REFRACT,physics,12,PHY.12.RAYOPT,topic,Refraction at plane and spherical surfaces,,2,45,true
PHY.12.RAYOPT.LENS,physics,12,PHY.12.RAYOPT,topic,"Thin lens formula, lens maker formula, magnification and power",,3,45,true
PHY.12.RAYOPT.TIR,physics,12,PHY.12.RAYOPT,topic,Total internal reflection and its applications,,4,45,true
PHY.12.RAYOPT.COMBINE,physics,12,PHY.12.RAYOPT,topic,Combination of thin lenses in contact,,5,45,true
PHY.12.RAYOPT.PRISM,physics,12,PHY.12.RAYOPT,topic,Refraction of light through a prism,,6,45,true
PHY.12.RAYOPT.INSTRUM,physics,12,PHY.12.RAYOPT,topic,Microscope and astronomical telescopes and their magnifying powers,,7,45,true
PHY.12.WAVOPT,physics,12,PHY.U16,chapter,Wave Optics,तरंग-प्रकाशिकी,2,225,true
PHY.12.WAVOPT.HUYGENS,physics,12,PHY.12.WAVOPT,topic,"Wavefront, Huygens' principle and the laws of reflection and refraction",,1,45,true
PHY.12.WAVOPT.INTERF,physics,12,PHY.12.WAVOPT,topic,"Interference, Young's double-slit experiment and fringe width",,2,45,true
PHY.12.WAVOPT.COHERENT,physics,12,PHY.12.WAVOPT,topic,Coherent sources and sustained interference,,3,45,true
PHY.12.WAVOPT.DIFFRACT,physics,12,PHY.12.WAVOPT,topic,Diffraction due to a single slit and the width of the central maximum,,4,45,true
PHY.12.WAVOPT.POLAR,physics,12,PHY.12.WAVOPT,topic,"Polarisation, Brewster's law and uses of polaroids",,5,45,true
PHY.12.DUAL,physics,12,PHY.U17,chapter,Dual Nature of Radiation and Matter,विकिरण तथा द्रव्य की द्वैत प्रकृति,1,135,true
PHY.12.DUAL.PHOTOEL,physics,12,PHY.12.DUAL,topic,Photoelectric effect and the observations of Hertz and Lenard,,1,45,true
PHY.12.DUAL.EINSTEIN,physics,12,PHY.12.DUAL,topic,Einstein's photoelectric equation and the particle nature of light,,2,45,true
PHY.12.DUAL.MATTERW,physics,12,PHY.12.DUAL,topic,Matter waves and the de Broglie relation,,3,45,true
PHY.12.ATOMS,physics,12,PHY.U18,chapter,Atoms,परमाणु,1,90,true
PHY.12.ATOMS.RUTHER,physics,12,PHY.12.ATOMS,topic,Alpha-particle scattering and Rutherford's model of the atom,,1,45,true
PHY.12.ATOMS.BOHR,physics,12,PHY.12.ATOMS,topic,"Bohr model, energy levels and the hydrogen spectrum",,2,45,true
PHY.12.NUCLEI,physics,12,PHY.U18,chapter,Nuclei,नाभिक,2,135,true
PHY.12.NUCLEI.COMPOS,physics,12,PHY.12.NUCLEI,topic,Composition and size of the nucleus and atomic masses,,1,45,true
PHY.12.NUCLEI.BINDING,physics,12,PHY.12.NUCLEI,topic,"Mass-energy relation, mass defect and binding energy per nucleon",,2,45,true
PHY.12.NUCLEI.FISSION,physics,12,PHY.12.NUCLEI,topic,Nuclear fission and fusion,,3,45,true
PHY.12.SEMI,physics,12,PHY.U19,chapter,"Semiconductor Electronics: Materials, Devices and Simple Circuits","अर्धचालक इलेक्ट्रॉनिकी: पदार्थ, युक्तियाँ तथा सरल परिपथ",1,180,true
PHY.12.SEMI.SEMIC,physics,12,PHY.12.SEMI,topic,Semiconductors and the diode's I-V characteristics in forward and reverse bias,,1,45,true
PHY.12.SEMI.RECTIF,physics,12,PHY.12.SEMI,topic,Diode as a rectifier,,2,45,true
PHY.12.SEMI.SPECIAL,physics,12,PHY.12.SEMI,topic,"LED, photodiode, solar cell and the Zener diode as a voltage regulator",,3,45,true
PHY.12.SEMI.LOGIC,physics,12,PHY.12.SEMI,topic,"Logic gates: OR, AND, NOT, NAND and NOR",,4,45,true
PHY.00.EXPSKILL,physics,,PHY.U20,chapter,Experimental Skills,प्रायोगिक कौशल,1,450,true
PHY.00.EXPSKILL.VERNIER,physics,,PHY.00.EXPSKILL,topic,Vernier callipers and screw gauge,,1,45,true
PHY.00.EXPSKILL.PENDULUM,physics,,PHY.00.EXPSKILL,topic,Simple pendulum: dissipation of energy,,2,45,true
PHY.00.EXPSKILL.MOMENTS,physics,,PHY.00.EXPSKILL,topic,Metre scale: mass by the principle of moments,,3,45,true
PHY.00.EXPSKILL.YOUNG,physics,,PHY.00.EXPSKILL,topic,Young's modulus of a metallic wire,,4,45,true
PHY.00.EXPSKILL.SURFVISC,physics,,PHY.00.EXPSKILL,topic,Surface tension by capillary rise and viscosity by terminal velocity,,5,45,true
PHY.00.EXPSKILL.SOUND,physics,,PHY.00.EXPSKILL,topic,Speed of sound with a resonance tube,,6,45,true
PHY.00.EXPSKILL.SPHEAT,physics,,PHY.00.EXPSKILL,topic,Specific heat capacity of a solid and a liquid by the method of mixtures,,7,45,true
PHY.00.EXPSKILL.ELECTRIC,physics,,PHY.00.EXPSKILL,topic,"Metre bridge resistivity, Ohm's law resistance and galvanometer figure of merit",,8,45,true
PHY.00.EXPSKILL.OPTICS,physics,,PHY.00.EXPSKILL,topic,"Focal lengths by parallax, prism deviation curve and refractive index of a glass slab",,9,45,true
PHY.00.EXPSKILL.DIODES,physics,,PHY.00.EXPSKILL,topic,Characteristic curves of p-n and Zener diodes and identification of components,,10,45,true
CHE.11.BASICS,chemistry,11,CHE.U01,chapter,Some Basic Concepts of Chemistry,रसायन विज्ञान की कुछ मूल अवधारणाएँ,1,225,true
CHE.11.BASICS.MATTER,chemistry,11,CHE.11.BASICS,topic,"Matter and its nature, Dalton's atomic theory, atoms, molecules, elements and compounds",,1,45,true
CHE.11.BASICS.LAWS,chemistry,11,CHE.11.BASICS,topic,Laws of chemical combination,,2,45,true
CHE.11.BASICS.MOLE,chemistry,11,CHE.11.BASICS,topic,"Atomic and molecular masses, the mole concept and molar mass",,3,45,true
CHE.11.BASICS.FORMULAE,chemistry,11,CHE.11.BASICS,topic,"Percentage composition, empirical and molecular formulae",,4,45,true
CHE.11.BASICS.STOICH,chemistry,11,CHE.11.BASICS,topic,Chemical equations and stoichiometry,,5,45,true
CHE.11.ATOM,chemistry,11,CHE.U02,chapter,Structure of Atom,परमाणु की संरचना,1,270,true
CHE.11.ATOM.RADIATION,chemistry,11,CHE.11.ATOM,topic,"Electromagnetic radiation, photoelectric effect and the hydrogen spectrum",,1,45,true
CHE.11.ATOM.BOHR,chemistry,11,CHE.11.ATOM,topic,"Bohr model of the hydrogen atom: postulates, energy, radii and limitations",,2,45,true
CHE.11.ATOM.DUAL,chemistry,11,CHE.11.ATOM,topic,"Dual nature of matter, de Broglie relationship and Heisenberg uncertainty",,3,45,true
